dokid	anforande_nummer
GT01KU23	74
GT01KU23	76
GT01KU25	36
GT01KU25	38
GT01KU25	40
GT01KU25	49
GT01KU28	98
GT01KU28	101
GT01KU8	6
GT01KrU7	92
GT01LU20	157
GT01LU20	158
GT01LU20	160
GT01LU20	162
GT01LU6	64
GT01LU9	88
GT01NU13	28
GT01NU13	72
GT01NU13	76
GT01NU13	78
GT01NU13	80
GT01NU13	83
GT01NU13	85
GT01NU13	86
GT01NU13	87
GT01NU13	88
GT01NU13	89
GT01NU13	91
GT01NU13	93
GT01NU14	30
GT01NU14	36
GT01SkU18	125
GT01SkU18	132
GT01SkU18	134
GT01SkU18	137
GT01SkU18	139
GT01SkU18	141
GT01SkU18	143
GT01SkU18	145
GT01SkU18	146
GT01SkU18	147
GT01SkU18	148
GT01SkU18	149
GT01SkU18	153
GT01SkU18	154
GT01SkU18	156
GT01SkU18	158
GT01SkU18	159
GT01SkU18	160
GT01SkU18	161
GT01SkU18	162
GT01SkU18	164
GT01SkU18	166
GT01SkU18	168
GT01SkU20	114
GT01SkU20	118
GT01SkU22	172
GT01SkU22	185
GT01SkU22	187
GT01SoU17	11
GT01SoU17	28
GT01SoU17	29
GT01SoU17	30
GT01SoU17	31
GT01SoU17	41
GT01SoU17	43
GT01SoU17	49
GT01SoU17	51
GT01SoU17	54
GT01SoU17	56
GT01SoU17	58
GT01SoU31	186
GT01SoU6	10
GT01TU11	152
GT01TU11	154
GT01TU11	156
GT01TU11	158
GT01TU11	159
GT01TU11	164
GT01TU11	165
GT01TU11	166
GT01TU11	167
GT01TU12	77
GT01TU14	1
GT01TU14	2
GT01TU14	4
GT01TU14	5
GT01TU14	7
GT01TU14	9
GT01TU16	180
GT01TU5	26
GT01TU6	76
GT01TU6	79
GT01TU6	89
GT01TU6	91
GT01TU6	93
GT01TU6	95
GT01TU6	98
GT01TU6	100
GT01TU6	102
GT01TU6	104
GT01TU6	107
GT01TU8	191
GT01TU8	192
GT01TU8	196
GT01TU8	198
GT01TU8	211
GT01TU8	213
GT01UU11	2
GT01UU11	4
GT01UU11	6
GT01UU15	1
GT01UU15	23
GT01UU15	25
GT01UU15	27
GT01UU15	35
GT01UU15	37
GT01UU17	84
GT01UU17	89
GT01UU17	91
GT01UU18	15
GT01UU18	17
GT01UU18	19
GT01UU18	21
GT01UU18	23
GT01UU18	25
GT01UU18	27
GT01UU18	29
GT01UU18	31
GT01UbU13	2
GT01UbU13	16
GT01UbU13	18
GT01UbU16	2
GT01UbU16	4
GT01UbU16	6
GT01UbU16	14
GT01UbU16	16
GT1012	5
GT1012	8
GT10125	19
GT10125	21
GT10125	23
GT10131	64
GT10131	66
GT10131	68
GT10133	1
GT10133	3
GT10133	5
GT10133	7
GT1014	29
GT1014	32
GT10141	57
GT10141	59
GT10141	61
GT10158	2
GT10158	4
GT10158	6
GT10159	52
GT10159	53
GT10159	54
GT10159	55
GT10159	56
